Type	WOOD	Density
Softwood	"Cedar, Western Red"	0.37
Softwood	"Cedar, Yellow"	0.5
Softwood	"Hemlock, Western"	0.5
Softwood	"Fir, Douglas"	0.53
Softwood	"Fir, Silver"	0.48
Softwood	"Pine, Ponderosa"	0.48
Softwood	"Pine, Sugar"	0.42
Softwood	"Pine, Western White"	0.45
Softwood	"Pine, White"	0.42
Hardwood	"Alder, Red"	0.53
Hardwood	"Ash, White"	0.67
Hardwood	Balsa	0.16
Hardwood	Basswood	0.42
Hardwood	Beech	0.74
Hardwood	"Birch, Paper"	0.64
Hardwood	"Birch, Yellow"	0.71
Hardwood	"Cherry, Black"	0.58
Hardwood	Chestnut	0.48
Hardwood	"Elm, White"	0.58
Hardwood	Hickory	0.74
Hardwood	"Maple, Hard"	0.74
Hardwood	"Maple, Soft"	0.63
Hardwood	"Oak, Red"	0.79
Hardwood	"Oak, White"	0.77
Hardwood	Teak	0.66
Hardwood	Yellow-Poplar	0.5
Hardwood	"Walnut, Black"	0.66
